,时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
0,2025-12-31 09:35:00,12.35,12.28,12.35,12.23,-0.89,-0.11,32046,39420121.0,0.97,0.01
1,2025-12-31 09:40:00,12.28,12.25,12.28,12.19,-0.24,-0.03,40957,50109281.0,0.73,0.01
2,2025-12-31 09:45:00,12.26,12.25,12.31,12.24,0.0,0.0,47103,57807848.0,0.57,0.01
3,2025-12-31 09:50:00,12.25,12.18,12.25,12.16,-0.57,-0.07,28806,35144342.0,0.73,0.01
4,2025-12-31 09:55:00,12.18,12.14,12.18,12.14,-0.33,-0.04,27992,34023316.0,0.33,0.01
5,2025-12-31 10:00:00,12.15,12.16,12.18,12.14,0.16,0.02,16082,19548765.0,0.33,0.0
6,2025-12-31 10:05:00,12.15,12.16,12.19,12.15,0.0,0.0,13016,15840481.0,0.33,0.0
7,2025-12-31 10:10:00,12.15,12.17,12.18,12.15,0.08,0.01,20934,25452018.0,0.25,0.01
8,2025-12-31 10:15:00,12.16,12.2,12.23,12.16,0.25,0.03,9822,11982773.0,0.58,0.0
9,2025-12-31 10:20:00,12.2,12.22,12.23,12.18,0.16,0.02,8748,10666580.0,0.41,0.0
10,2025-12-31 10:25:00,12.23,12.24,12.26,12.2,0.16,0.02,9795,11966985.0,0.49,0.0
11,2025-12-31 10:30:00,12.26,12.3,12.32,12.25,0.49,0.06,14593,17923982.0,0.57,0.0
12,2025-12-31 10:35:00,12.3,12.31,12.32,12.29,0.08,0.01,6069,7467207.0,0.24,0.0
13,2025-12-31 10:40:00,12.31,12.35,12.35,12.3,0.32,0.04,6987,8611276.0,0.41,0.0
14,2025-12-31 10:45:00,12.34,12.36,12.36,12.32,0.08,0.01,7740,9551847.0,0.32,0.0
15,2025-12-31 10:50:00,12.35,12.35,12.36,12.33,-0.08,-0.01,7157,8838440.0,0.24,0.0
16,2025-12-31 10:55:00,12.35,12.35,12.36,12.32,0.0,0.0,9104,11235940.0,0.32,0.0
17,2025-12-31 11:00:00,12.35,12.37,12.39,12.34,0.16,0.02,14310,17709566.0,0.4,0.0
18,2025-12-31 11:05:00,12.38,12.38,12.39,12.37,0.08,0.01,5978,7400200.0,0.16,0.0
19,2025-12-31 11:10:00,12.38,12.39,12.41,12.36,0.08,0.01,13755,17032456.0,0.4,0.0
20,2025-12-31 11:15:00,12.38,12.39,12.4,12.38,0.0,0.0,6282,7782219.0,0.16,0.0
21,2025-12-31 11:20:00,12.38,12.4,12.4,12.37,0.08,0.01,8827,10933706.0,0.24,0.0
22,2025-12-31 11:25:00,12.39,12.39,12.4,12.37,-0.08,-0.01,8819,10925226.0,0.24,0.0
23,2025-12-31 11:30:00,12.38,12.34,12.39,12.34,-0.4,-0.05,4427,5474616.0,0.4,0.0
24,2025-12-31 13:05:00,12.34,12.3,12.34,12.28,-0.32,-0.04,14678,18063751.0,0.49,0.0
25,2025-12-31 13:10:00,12.3,12.32,12.32,12.3,0.16,0.02,4016,4943233.0,0.16,0.0
26,2025-12-31 13:15:00,12.31,12.34,12.36,12.3,0.16,0.02,11698,14442790.0,0.49,0.0
27,2025-12-31 13:20:00,12.35,12.34,12.36,12.34,0.0,0.0,7892,9745380.0,0.16,0.0
28,2025-12-31 13:25:00,12.35,12.38,12.38,12.35,0.32,0.04,7739,9563884.0,0.24,0.0
29,2025-12-31 13:30:00,12.36,12.35,12.37,12.35,-0.24,-0.03,5819,7189485.0,0.16,0.0
30,2025-12-31 13:35:00,12.34,12.35,12.36,12.34,0.0,0.0,5779,7137090.0,0.16,0.0
31,2025-12-31 13:40:00,12.34,12.33,12.36,12.33,-0.16,-0.02,8354,10314550.0,0.24,0.0
32,2025-12-31 13:45:00,12.34,12.31,12.35,12.31,-0.16,-0.02,8782,10830795.0,0.32,0.0
33,2025-12-31 13:50:00,12.31,12.34,12.34,12.31,0.24,0.03,4885,6021601.0,0.24,0.0
34,2025-12-31 13:55:00,12.34,12.37,12.37,12.33,0.24,0.03,17863,22082894.0,0.32,0.01
35,2025-12-31 14:00:00,12.36,12.37,12.38,12.34,0.0,0.0,10972,13563221.0,0.32,0.0
36,2025-12-31 14:05:00,12.37,12.37,12.38,12.35,0.0,0.0,22251,27527427.0,0.24,0.01
37,2025-12-31 14:10:00,12.37,12.4,12.4,12.37,0.24,0.03,18667,23121058.0,0.24,0.01
38,2025-12-31 14:15:00,12.39,12.39,12.43,12.39,-0.08,-0.01,32435,40259456.0,0.32,0.01
39,2025-12-31 14:20:00,12.4,12.38,12.4,12.37,-0.08,-0.01,13832,17147702.0,0.24,0.0
40,2025-12-31 14:25:00,12.37,12.37,12.4,12.36,-0.08,-0.01,15806,19571680.0,0.32,0.0
41,2025-12-31 14:30:00,12.36,12.36,12.37,12.34,-0.08,-0.01,16575,20476637.0,0.24,0.0
42,2025-12-31 14:35:00,12.34,12.42,12.44,12.34,0.49,0.06,51602,63953448.0,0.81,0.02
43,2025-12-31 14:40:00,12.41,12.42,12.45,12.4,0.0,0.0,46814,58174293.0,0.4,0.01
44,2025-12-31 14:45:00,12.4,12.41,12.41,12.38,-0.08,-0.01,23297,28879301.0,0.24,0.01
45,2025-12-31 14:50:00,12.41,12.37,12.41,12.37,-0.32,-0.04,20525,25439660.0,0.32,0.01
46,2025-12-31 14:55:00,12.37,12.41,12.43,12.36,0.32,0.04,43731,54236671.0,0.57,0.01
47,2025-12-31 15:00:00,12.4,12.44,12.44,12.36,0.24,0.03,41098,51070672.0,0.64,0.01
48,2026-01-05 09:35:00,12.47,12.36,12.48,12.26,-0.64,-0.08,52466,64830968.0,1.77,0.02
49,2026-01-05 09:40:00,12.37,12.36,12.41,12.34,0.0,0.0,29978,37106421.0,0.57,0.01
50,2026-01-05 09:45:00,12.37,12.33,12.4,12.33,-0.24,-0.03,21361,26418558.0,0.57,0.01
51,2026-01-05 09:50:00,12.34,12.23,12.34,12.2,-0.81,-0.1,40292,49385556.0,1.14,0.01
52,2026-01-05 09:55:00,12.22,12.15,12.22,12.13,-0.65,-0.08,42887,52189437.0,0.74,0.01
53,2026-01-05 10:00:00,12.14,12.07,12.18,12.06,-0.66,-0.08,35994,43598838.0,0.99,0.01
54,2026-01-05 10:05:00,12.07,12.04,12.07,11.99,-0.25,-0.03,65353,78591669.0,0.66,0.02
55,2026-01-05 10:10:00,12.04,12.01,12.05,12.0,-0.25,-0.03,32577,39129562.0,0.42,0.01
56,2026-01-05 10:15:00,12.0,11.97,12.01,11.96,-0.33,-0.04,37009,44351366.0,0.42,0.01
57,2026-01-05 10:20:00,11.97,11.96,11.99,11.95,-0.08,-0.01,35275,42225772.0,0.33,0.01
58,2026-01-05 10:25:00,11.96,11.89,11.96,11.88,-0.59,-0.07,51473,61323892.0,0.67,0.02
59,2026-01-05 10:30:00,11.9,11.9,11.91,11.87,0.08,0.01,35114,41745928.0,0.34,0.01
60,2026-01-05 10:35:00,11.9,11.86,11.9,11.83,-0.34,-0.04,40156,47623146.0,0.59,0.01
61,2026-01-05 10:40:00,11.86,11.85,11.87,11.81,-0.08,-0.01,35733,42301606.0,0.51,0.01
62,2026-01-05 10:45:00,11.85,11.89,11.89,11.83,0.34,0.04,26667,31591758.0,0.51,0.01
63,2026-01-05 10:50:00,11.89,11.88,11.89,11.85,-0.08,-0.01,22097,26240231.0,0.34,0.01
64,2026-01-05 10:55:00,11.88,11.89,11.89,11.85,0.08,0.01,21329,25309350.0,0.34,0.01
65,2026-01-05 11:00:00,11.88,11.86,11.89,11.85,-0.25,-0.03,14009,16629627.0,0.34,0.0
66,2026-01-05 11:05:00,11.86,11.87,11.87,11.85,0.08,0.01,11398,13517128.0,0.17,0.0
67,2026-01-05 11:10:00,11.87,11.84,11.88,11.84,-0.25,-0.03,15876,18822535.0,0.34,0.0
68,2026-01-05 11:15:00,11.84,11.84,11.85,11.83,0.0,0.0,10517,12448690.0,0.17,0.0
69,2026-01-05 11:20:00,11.84,11.83,11.84,11.83,-0.08,-0.01,10189,12056129.0,0.08,0.0
