,day,open,high,low,close,volume
0,2026-02-03 13:53:00,3.93,3.95,3.92,3.95,2399607
1,2026-02-03 13:54:00,3.94,3.97,3.94,3.97,2443557
2,2026-02-03 13:55:00,3.97,3.98,3.96,3.98,1095100
3,2026-02-03 13:56:00,3.97,3.99,3.97,3.99,846400
4,2026-02-03 13:57:00,3.98,3.99,3.97,3.98,935500
5,2026-02-03 13:58:00,3.99,4.0,3.98,3.99,879300
6,2026-02-03 13:59:00,3.99,3.99,3.97,3.98,456700
7,2026-02-03 14:00:00,3.98,3.98,3.97,3.98,72100
8,2026-02-03 14:01:00,3.97,3.99,3.97,3.99,263000
9,2026-02-03 14:02:00,3.98,3.99,3.97,3.98,313500
10,2026-02-03 14:03:00,3.97,3.98,3.97,3.97,153100
11,2026-02-03 14:04:00,3.97,3.98,3.97,3.97,143900
12,2026-02-03 14:05:00,3.97,3.98,3.97,3.97,189000
13,2026-02-03 14:06:00,3.98,3.98,3.97,3.97,143100
14,2026-02-03 14:07:00,3.96,3.97,3.96,3.97,96300
15,2026-02-03 14:08:00,3.97,3.97,3.96,3.97,70200
16,2026-02-03 14:09:00,3.97,3.97,3.96,3.97,127700
17,2026-02-03 14:10:00,3.97,3.97,3.96,3.97,250400
18,2026-02-03 14:11:00,3.97,3.98,3.97,3.97,171800
19,2026-02-03 14:12:00,3.98,3.98,3.97,3.98,158200
20,2026-02-03 14:13:00,3.97,3.98,3.97,3.97,67900
21,2026-02-03 14:14:00,3.98,3.98,3.96,3.96,145800
22,2026-02-03 14:15:00,3.96,3.97,3.96,3.96,84100
23,2026-02-03 14:16:00,3.96,3.97,3.96,3.96,110000
24,2026-02-03 14:17:00,3.96,3.97,3.96,3.97,189900
25,2026-02-03 14:18:00,3.96,3.97,3.96,3.97,49400
26,2026-02-03 14:19:00,3.97,3.97,3.96,3.97,47300
27,2026-02-03 14:20:00,3.96,3.97,3.95,3.96,305300
28,2026-02-03 14:21:00,3.95,3.96,3.95,3.95,34100
29,2026-02-03 14:22:00,3.96,3.96,3.95,3.95,169800
30,2026-02-03 14:23:00,3.96,3.96,3.95,3.95,51100
31,2026-02-03 14:24:00,3.96,3.96,3.95,3.95,33200
32,2026-02-03 14:25:00,3.96,3.96,3.95,3.95,54000
33,2026-02-03 14:26:00,3.96,3.96,3.95,3.96,24000
34,2026-02-03 14:27:00,3.95,3.96,3.95,3.95,51200
35,2026-02-03 14:28:00,3.96,3.96,3.95,3.96,43900
36,2026-02-03 14:29:00,3.95,3.96,3.95,3.95,74000
37,2026-02-03 14:30:00,3.95,3.96,3.95,3.95,56100
38,2026-02-03 14:31:00,3.96,3.96,3.95,3.95,51900
